D,S,ho,do,hc,hz,du,J,Q,Hi,y
25,150,15,6,83.5,83.5,10,5.13,7.5,10,6275.3
25,150,15,6,83.5,83.5,10,5.13,7.5,11,6476.14
25,150,15,6,83.5,83.5,10,5.13,7.5,12,6414.36
25,150,15,6,125,42,10,10.12,5,1,3171.15
25,150,15,6,125,42,10,10.12,5,2,3332.74
25,150,15,6,125,42,10,10.12,5,3,2511.95
25,150,15,6,125,42,10,10.12,5,4,1752.69
25,150,15,6,125,42,10,10.12,5,5,1434.81
25,150,15,6,125,42,10,10.12,5,6,1157.32
25,150,15,6,125,42,10,10.12,5,7,953.18
25,150,15,6,125,42,10,10.12,5,8,718.2
25,150,15,6,125,42,10,10.12,5,9,956.3
25,150,15,6,125,42,10,10.12,5,10,1677.32
25,150,15,6,125,42,10,10.12,5,11,2256.1
25,150,15,6,125,42,10,10.12,5,12,2856.25
25,150,15,6,125,42,10,10.12,7.5,1,5559.03
25,150,15,6,125,42,10,10.12,7.5,2,6063.07
25,150,15,6,125,42,10,10.12,7.5,3,5056.21
25,150,15,6,125,42,10,10.12,7.5,4,3342.1
25,150,15,6,125,42,10,10.12,7.5,5,3477.49
25,150,15,6,125,42,10,10.12,7.5,6,3084.84
25,150,15,6,125,42,10,10.12,7.5,7,2462.23
25,150,15,6,125,42,10,10.12,7.5,8,2059.28
25,150,15,6,125,42,10,10.12,7.5,9,2717.53
25,150,15,6,125,42,10,10.12,7.5,10,4617.29
25,150,15,6,125,42,10,10.12,7.5,11,4834.11
25,150,15,6,125,42,10,10.12,7.5,12,4991.98
25,100,15,6,42,125,10,3.43,5,1,3077.35
25,100,15,6,42,125,10,3.43,5,2,2408.08
25,100,15,6,42,125,10,3.43,5,3,1178.15
25,100,15,6,42,125,10,3.43,5,4,1225.84
25,100,15,6,42,125,10,3.43,5,5,1027.91
25,100,15,6,42,125,10,3.43,5,6,976.73
25,100,15,6,42,125,10,3.43,5,7,818.5
25,100,15,6,42,125,10,3.43,5,8,583.94
25,100,15,6,42,125,10,3.43,5,9,521.99
25,100,15,6,42,125,10,3.43,5,10,572.99
25,100,15,6,42,125,10,3.43,5,11,572.99
25,100,15,6,42,125,10,3.43,5,12,668.69
25,100,15,6,42,125,10,3.43,7.5,1,5030.41
25,100,15,6,42,125,10,3.43,7.5,2,5223.4
25,100,15,6,42,125,10,3.43,7.5,3,2863.31
25,100,15,6,42,125,10,3.43,7.5,4,1893.24
25,100,15,6,42,125,10,3.43,7.5,5,1515.66
25,100,15,6,42,125,10,3.43,7.5,6,1885.23
25,100,15,6,42,125,10,3.43,7.5,7,1600.74
25,100,15,6,42,125,10,3.43,7.5,8,1825.6
25,100,15,6,42,125,10,3.43,7.5,9,1912.96
25,100,15,6,42,125,10,3.43,7.5,10,2998.67
25,100,15,6,42,125,10,3.43,7.5,11,3921.01
25,100,15,6,42,125,10,3.43,7.5,12,3830.56
25,100,15,6,42,125,10,3.43,10,1,7130.25
25,100,15,6,42,125,10,3.43,10,2,6109.03
25,100,15,6,42,125,10,3.43,10,3,5421.02
25,100,15,6,42,125,10,3.43,10,4,4772.52
25,100,15,6,42,125,10,3.43,10,5,3089.86
25,100,15,6,42,125,10,3.43,10,6,3533.26
25,100,15,6,42,125,10,3.43,10,7,3374.81
25,100,15,6,42,125,10,3.43,10,8,3739.28
25,100,15,6,42,125,10,3.43,10,9,4088.5
25,100,15,6,42,125,10,3.43,10,10,6771.34
25,100,15,6,42,125,10,3.43,10,11,6832.23
25,100,15,6,42,125,10,3.43,10,12,6800.54
25,200,15,6,42,125,10,3.43,5,1,3180.98
